current_rating_grade,ifrs9_stage,facilities,total_outstanding,avg_current_pd,default_rate
A,1,1905,807741720.88,0.003676921784776903,0.0
A,2,185,56633054.51,0.0037227081081081083,0.0
A,3,21,26397446.96,0.0038142380952380954,1.0
B,1,6036,2636554013.98,0.009274248840291583,0.0
B,2,830,384939006.83,0.009628697590361446,0.0
B,3,219,88620878.46,0.010239059360730595,1.0
C,1,4199,1225763066.11,0.02167346701595618,0.0
C,2,784,238569976.0,0.022668863520408165,0.0
C,3,374,97552202.43,0.022411077540106954,1.0
D,1,682,162462866.03,0.04765386656891496,0.0
D,2,224,56179522.56,0.047221624999999996,0.0
D,3,157,42671273.42,0.047680757961783435,1.0
E,1,12,5315944.83,0.08031066666666667,0.0
E,2,15,5133735.96,0.08759,0.0
E,3,3,85291.6,0.08057833333333334,1.0
