segment_type,segment,facilities,avg_actual_lgd,avg_predicted_lgd,avg_ead,total_ead,prediction_error
product_type,term_loan,38,0.707929741408251,0.71036782521379,608916.247368421,23138817.4,0.002438083805539004
product_type,working_capital,25,0.5770917114533544,0.6262381858632774,292047.5396,7301188.49,0.049146474409923036
product_type,credit_line,23,0.7302340197800191,0.7058585762200957,168500.3834782609,3875508.8200000003,-0.024375443559923382
product_type,leasing,14,0.7668970591621405,0.7811610896599365,95381.21642857142,1335337.03,0.01426403049779601
product_type,overdraft,12,0.6076157708945857,0.6339255683479,362325.87833333336,4347910.54,0.0263097974533143
product_type,trade_finance,5,0.6479793763573396,0.5983906463233224,618586.456,3092932.2800000003,-0.0495887300340172
collateral_type,none,60,0.8831540780139401,0.88483142120061,365124.7593333333,21907485.56,0.0016773431866698996
collateral_type,real_estate,25,0.3681122645866276,0.41460283516328994,484700.9568,12117523.92,0.04649057057666234
collateral_type,equipment,10,0.4670334833857023,0.49329721468842314,274233.534,2742335.34,0.02626373130272086
collateral_type,receivables,10,0.653703958942102,0.5945970395966605,157671.405,1576714.05,-0.05910691934544143
collateral_type,guarantee,6,0.4142042599481952,0.381950522233587,150513.84166666665,903083.0499999999,-0.03225373771460821
collateral_type,inventory,6,0.5845331828517031,0.6323987895712465,640758.7733333333,3844552.64,0.04786560671954343
industry,construction,21,0.6039826285819733,0.636239205622619,519279.01333333337,10904859.280000001,0.03225657704064577
industry,trade,20,0.676310205045486,0.676320815665197,515056.55449999997,10301131.09,1.0610619710971214e-05
industry,real_estate,19,0.6062721277152934,0.6494610117394857,248630.73052631578,4723983.88,0.0431888840241923
industry,transport,15,0.7574229044736911,0.746372426982347,747832.5086666667,11217487.63,-0.011050477491344135
industry,agriculture,13,0.7432016705218619,0.6782709341673497,125968.70692307694,1637593.1900000002,-0.06493073635451219
industry,manufacturing,13,0.7425863292954742,0.7480425177058208,54502.95846153846,708538.46,0.005456188410346563
industry,services,10,0.6379602480982733,0.7063663995520114,190652.942,1906529.4200000002,0.06840615145373807
industry,energy,6,0.7677751003573882,0.7319117392938304,281928.6016666666,1691571.6099999999,-0.03586336106355781
company_size,small,46,0.6666543543438216,0.661134330881299,76838.55086956521,3534573.34,-0.005520023462522561
company_size,micro,37,0.7067855334677745,0.7199570651078808,17266.645945945947,638865.9,0.013171531640106315
company_size,medium,24,0.6892508013407177,0.6780888882569039,485052.4770833333,11641259.45,-0.011161913083813757
company_size,large,10,0.6032666105278855,0.7095270617101641,2727699.5870000003,27276995.87,0.10626045118227856
origination_rating_grade,C,53,0.7013799253957879,0.6851761421620636,160102.99018867925,8485458.48,-0.01620378323372429
origination_rating_grade,B,34,0.6071683867169368,0.6393755668870335,243933.90999999997,8293752.9399999995,0.032207180170096605
origination_rating_grade,D,23,0.787542888300082,0.8158745681675141,425453.8817391305,9785439.280000001,0.028331679867432125
origination_rating_grade,A,7,0.4945003929035762,0.5145392411710502,2361006.2657142854,16527043.86,0.020038848267473985
