scenario,industry,facilities,total_ead,total_ecl,avg_pd_12m,avg_lgd
base,agriculture,1882,125611713.162,11482995.875578681,0.016923112486716258,0.5795288702739628
base,construction,1931,122251659.732,12123577.818825293,0.02117184795442776,0.5896423974137402
base,energy,1935,125208566.8885,6918955.360503919,0.014176894677002583,0.5860717304318717
base,manufacturing,1993,120252311.1015,10528997.459053947,0.017132076307074764,0.5753309150555379
base,real_estate,1866,111988365.6465,16013897.431258975,0.020430934458735263,0.5895728886802452
base,services,2004,109381366.8105,5509784.717903425,0.015631199101796407,0.5759569561937039
base,trade,2031,127879528.938,6858994.934409697,0.018438697415066468,0.5929178484887011
base,transport,2004,129498601.4885,13060433.508575438,0.017485491417165672,0.5822725250187768
downside,agriculture,1882,134687418.5793,13439007.7995415,0.02315774097329968,0.6374817573013591
downside,construction,1931,130752657.2928,14285217.525154658,0.029693516756084934,0.6486066371551144
downside,energy,1935,133598125.493275,8049467.135975782,0.0189877119627907,0.6446789034750589
downside,manufacturing,1993,127769989.560225,12119807.079499628,0.02338528415915705,0.6328640065610918
downside,real_estate,1866,119909146.34197499,18621929.186542552,0.028536514802652735,0.6485301775482697
downside,services,2004,116873599.920075,6602928.404040175,0.021102118787425152,0.6335526518130743
downside,trade,2031,136736398.2507,8292436.327096931,0.025379263626846383,0.6522096333375713
downside,transport,2004,138722534.158775,15305239.308203267,0.023984786128742518,0.6404997775206547
severe_downturn,agriculture,1882,143763123.9966,16075859.408350458,0.03317699279782147,0.7069031175980327
severe_downturn,construction,1931,139253654.8536,17256130.07647073,0.04387669452925945,0.7187464198640163
severe_downturn,energy,1935,141987684.09805,9639992.79258686,0.026439908572609815,0.7144501281561187
severe_downturn,manufacturing,1993,135287668.01895002,14238708.660996808,0.03339485837190166,0.7020788470306618
severe_downturn,real_estate,1866,127829927.03745,21814613.628446627,0.04195413810584137,0.7185845460057191
severe_downturn,services,2004,124365833.02965,8155172.12305839,0.02969927829341317,0.7029302271782576
severe_downturn,trade,2031,145593267.5634,10429104.322763138,0.03663288166875923,0.721871091999355
severe_downturn,transport,2004,147946466.82905,18307326.85952564,0.03446827495608783,0.7104504367125929
rate_shock,agriculture,1882,131662183.4402,13149094.80001572,0.02476159049760893,0.62589117989588
rate_shock,construction,1931,127918991.4392,13981251.895607244,0.03149508418850337,0.6368137892068395
rate_shock,energy,1935,130801605.95835,7942931.029300259,0.020448305190697673,0.6329574688664215
rate_shock,manufacturing,1993,125264096.74065,11962630.34743918,0.02502552183522328,0.621357388259981
rate_shock,real_estate,1866,117268886.11015001,18155608.716789275,0.030308505464362274,0.6367387197746648
rate_shock,services,2004,114376188.88355,6510264.34463015,0.02266523869760479,0.6220335126892002
rate_shock,trade,2031,133784108.4798,8166598.965598247,0.027084843137740032,0.6403512763677973
rate_shock,transport,2004,135647889.93535,14955456.742463566,0.025625612153692617,0.628854327020279
fx_shock,agriculture,1882,132872277.49584001,13795272.887566429,0.026300055269128587,0.6490723347068383
fx_shock,construction,1931,129052457.78064,14383068.015673868,0.028593756876229934,0.6603994851033891
fx_shock,energy,1935,131920213.77232002,8119912.569288792,0.018284463371576225,0.6564003380836964
fx_shock,manufacturing,1993,126266453.86848001,12536228.663445711,0.02664355126422479,0.6443706248622025
fx_shock,real_estate,1866,118324990.20288001,18778540.57838562,0.02747960684699893,0.6603216353218747
fx_shock,services,2004,115375153.29816002,6629069.8970537,0.020320558832335328,0.6450717909369484
fx_shock,trade,2031,134965024.38816002,8618649.42661543,0.028608039880723777,0.6640679903073453
fx_shock,transport,2004,136877747.62472,15685457.937603446,0.027155592652694613,0.6521452280210301
