scenario,ifrs9_stage,facilities,total_ead,total_ecl,avg_pd_12m,avg_lgd
base,1,12834,736020683.5415,6346296.698147384,0.01647332624045504,0.5785402031708826
base,2,2038,124263478.5375,1250616.297167073,0.02128650663886163,0.5895372952436772
base,3,774,111787951.6885,74900724.11079492,0.027709369289405684,0.6575519135127502
downside,1,12834,791757972.8212249,10306420.730513867,0.022617107405206872,0.6363942234879709
downside,2,2038,132819443.26162499,2002444.0072997115,0.029237320395154566,0.648491024768045
downside,3,774,114472453.514275,84407168.02824092,0.0381965199497093,0.7233071048640253
severe_downturn,1,12834,847495262.10095,17556139.74272885,0.03254103734868708,0.7058112209263585
severe_downturn,2,2038,141375407.98575002,3356830.1864093356,0.042088099540947006,0.718521226512889
severe_downturn,3,774,117156955.34005,95003937.94306046,0.0552384164004522,0.7967460934413253
rate_shock,1,12834,773178876.39465,10555576.297024028,0.024157073479207574,0.6248234194245532
rate_shock,2,2038,129967455.02025001,2055671.7009939337,0.031223843430004908,0.6367002788631714
rate_shock,3,774,113577619.57235,82212588.84382568,0.04074345635510336,0.7101560665937703
fx_shock,1,12834,780610514.96528,10893198.874547763,0.02371325266208119,0.6479650275513886
fx_shock,2,2038,131108250.31680001,2121763.8518091147,0.030684116598307165,0.6602817706729186
fx_shock,3,774,113935553.14912,85531237.24927612,0.03985045412900517,0.7364581431342803
